Kaizen_title,background,baseline,issue
Optimalisasi Output Toy FF031 di Proses Tampo,Output Toy FF031 belum optimal,Average Output di bawah 600 pcs / hours,NULL
TP - Toy Combine,Ketika terjadi problem pada nest atau mesin maka akan mengakibatkan DT terlalu lama,Nest hanya terdapat 1,NULL
Standardization Planning & Operation Subcon Others ( Decalindo ),Planning & operation di Decalindo belum standard dan mengakibatkan keterlambatan kedatangan material,Keterlambatan kedatangan material P/N HLW05-4021Z &amp; HPK00 series,"Subcon process information is not detail 
,1.The price can't be updated directly because of the bidding process.
2. In the middle of the process, Decalindo felt unprofitable and would not order the part. 
"
Molding Center Operation Cost Analysis,Need to analyze the operation cost impact of PIM operation in the new building,Space Kaizen 2021: https://mattelcorp.sharepoint.com/:f:/s/PTMILean/EupfJoIwG2JFgf3JxVKF0YABEHuWSB2yWSUl2dtIeZUvUA?e=YOJ86U,"Operation Cost & Impact on moving on new building,Facility Cost & Impact on moving on new building,Materials Cost & Impact on moving on new building,Services Cost & Impact on moving on new building"
STANDARDIZE HOPPER ON MACHINE WITH LEVEL LOADING RUN RATE PART,"MATERIAL SHORTAGE DURING RUNNING PRODUCTION,SILVERING / WHITE MARK ON PART","HOPPER TOO SMALL FOR BIG RUN RATE PRODUCTION,SILVERING DUE TO MATERIAL NOT DRIED PROPERLY,20 MACHINE NOT LOADED PROPERLY ON LINE A & B",MATERIAL SHORTAGE
Increase DI and BPA 2023 submission,Low participations,DI and BPA performances 2022,"Increasing DI ,Daily improvement low submission,DI Submitter prize,BPA submission low,No top contribution email"
BB - Improve Man to Machines Ratio ,"Dengan adanya conveyour, man to machines ratio barbell seharusnya bisa dinaikkan",data Effisiensi,"Waktu changeover tidak tepat waktu karena masih harus mencapai output schedule sehingga potensi waktu changeover berbarengan
,Mapping operator masih manual sehingga membutuhkan waktu untuk mapping  dengan copy paste excel
"
PIM - improve issue stiking HJT36 Sunglases(11029-79929),issue stiking part,Stiking 100% persen,Part stiking di runner menyebabkan part  kegencet di mold 10/10
BBD - PP Kaizen Toy HNF74 MH Abbey,PP mundur tidak sesuai dg Sch BBD karena nunggu rotohead ,Down time PP lebih dari 2 jam ,"Angin MC 34 suara kencang menimbulkan suara berisik -Selang angin bocor,Bentuk Deco titik dekat hidung tidak sama dg app sample -Karena pada saat EP urutan prosesnya adalah mata dulu baru nose, banding terbalik dengan actual MC PP jln. Urutannya Nose baru mata,Smear eyebrow jig kiri 500.000 ppm-Karena tarikan ink cup di teplon cakar elang sdh longgar ,Bentuk eyebrow tidak sama dg App sample -di rubber sesuai dg gambar  setelah di print hasilnya eyebrow bentuknya agak kecil dg App sample"
PIM - Improvement issue safety Toy HNF74-2029 ,Issue safety tangan operator,Ttriming keras tangan operator sakit,"Tangan operator sakit pada telapak tangan saat triming part karena runner terlalu besar dan keras,Penympukan part yang akan di triming di proses "
Improve Stock of MIMAKI for DIJ machine ,Spare parts kosong di West plant untuk DIJ  mesin dan  info vendor barang indent perkiraan indent-nya >1bulan.,pict on PPT,"vendor tidak memiliki inventory & leadtime spare parts untuk support mesin DIJ di PTMI ,quantity mesin DIJ bertambah di ke 2 plant tetapi tidak ada update ke team tool crib terkait penambahan mesin, sehingga min max stock spare parts kurang ,terdapat perbedaan part number dan description antara user dan tool crib"
Improvement Pencatatan Limbah Domestik,belum adanya pencatatan limbah domestik yang riil,Pengeluaran limbah domestik sebesar 12 ton per bulan namun masih hitungan kasar per rit,"Perbedaan surat jalan sampah basah (kantin) dan kering (domestik umum)
,Surat jalan limbah domestic umum diterbitkan oleh vendor sampah 
,Estimasi berat sampah domestic disamaratakan antara sampah botol plastic, kertas & lain-lain.
,Pencatatan QTY dilakukan manual dengan logbook excel
,Polybag Sisa makanan dari office masuk ke slot sampah lain-lain
,Inkonsistensi penempelan stiker jenis sampah di polybag
,Identifikasi nama limbah sisa makanan belum ada di TPS (Tempat Penyimpanan Sementara)
,Tidak ada keterangan berat di surat jalan sampah sisa makanan
,Polybag sisa makanan dari office masuk ke TPS kategori lain-lain"
PL - Optimize Machine Scheduling,ada mesin yang di planningkan jalan underload (1 mesin jalan kurang dari 5 plate),% MC Run with 5 plate = 93% (ada 7% losses under load),"Terjadinya waiting dan potensi pemborosan gas di Rotocast karena mesin tidak running full 5 plate ,Utilisasi pemakaian mesin blm maksimal karena Mesin running tidak lock up "
Establish robust maintenance system to avoid unplanned downtime at ESP,Establish robust maintenance system to avoid unplanned downtime at ESP,"2790 Minutes DT - Spraybooth ,1950 Minutes DT - Electrical & Controller ",NULL
PIM - Improve Quality FJF75 Leg ,"Part deform saat running sehingga output tidak tercapai,Part deform saat running sehingga output tidak tercapai","Deform part 500,000 PPM",Part deform yang terjadi karena cooling core pin block panas yang sebakan saluran cooling pada mold mapet 
